"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh_mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
1995,1,1,1,2,45,2.750,136.09,-6.2,0,-0.3,0,-0.8,0,-9999.9,1,317.9,0,276.1,0,275.5,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,48,2.800,136.66,-6.2,0,-0.3,0,-0.8,0,-9999.9,1,318.1,0,276.1,0,275.5,0,313.5,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,51,2.850,137.23,-6.3,0,-0.3,0,-0.7,0,-9999.9,1,317.8,0,276.1,0,275.5,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,54,2.900,137.79,-6.3,0,-0.3,0,-0.8,0,-9999.9,1,317.6,0,276.1,0,275.5,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,2,57,2.950,138.36,-6.5,0,-0.2,0,-0.7,0,-9999.9,1,317.7,0,276.2,0,275.6,0,313.3,0,272.9,0,273.0,0,0.0,0,0.6,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,0,3.000,138.92,-6.3,0,-0.2,0,-0.6,0,-9999.9,1,317.5,0,276.2,0,275.6,0,313.3,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,3,3.050,139.49,-6.7,0,-0.2,0,-0.7,0,-9999.9,1,317.5,0,276.2,0,275.6,0,313.3,0,272.9,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,6,3.100,140.05,-6.0,0,-0.2,0,-1.0,0,-9999.9,1,317.3,0,276.2,0,275.6,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,9,3.150,140.61,-6.4,0,-0.2,0,-0.7,0,-9999.9,1,317.0,0,276.2,0,275.6,0,313.2,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,12,3.200,141.17,-6.2,0,-0.2,0,-0.8,0,-9999.9,1,316.6,0,276.2,0,275.5,0,313.6,0,273.0,0,273.1,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
